,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
0,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
1,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
2,1399,Black Strap, Regular,Noise Colorfit,1.8,No
3,1199,Black Strap, Free Size,Fastrack Revoltt,1.83,Yes
4,1099,Chocolate Brown Strap, Free Size,boAt Wave,1.83,No
5,1099,Black Strap, Regular,Noise Caliber,1.69,No
6,1399,Pink Strap, Regular,Noise Icon,1.8,Yes
7,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
9,1299,Jet Black Strap, Regular,Noise Icon,1.69,Yes
10,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
11,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
12,1399,Black Strap, Free Size,Fastrack Revoltt,1.38,No
13,719,Orange Strap, Free Size,Gamesir T800,1.83,No
14,664,Pink Strap, Free Size,Melbon Pink,1.69,No
15,1399,Active Black Strap, Free Size,boAt Wave,1.83,No
16,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
17,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
18,1199,Teal Strap, Free Size,Fastrack Revoltt,1.83,Yes
19,684,Pink Strap, 1.75 Inch Full Screen Display,Gamesir I8,1.85,No
20,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
21,1299,Cream Strap, Free Size,Boult Striker,1.85,Yes
22,999,Mint Green Strap, Free Size,beatXP Marv,1.85,Yes
23,1399,Wine Red Strap, Free Size,Fastrack Revoltt,1.38,No
24,1399,Metal Black Strap, Free Size,boAt Storm,1.83,Yes
25,1399,Deep Wine Strap, Regular,Noise Colorfit,1.8,No
26,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
27,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
28,799,Electric Black Strap, Free Size,beatXP Vector,1.3,Yes
29,1399,Grey Strap, Regular,Noise Colorfit,1.8,No
32,1199,Blue Strap, Free Size,Fastrack Revoltt,1.83,Yes
33,999,Electric Black Strap, Free Size,beatXP Unbound,2.01,No
34,1399,Black Strap, Free Size,Fire-Boltt Rise,1.85,Yes
37,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
38,1299,Deep Blue Strap, Free Size,boAt Ultima,2.0,No
39,899,Copper Black Strap, Free Size,beatXP Marv,1.85,Yes
42,351,MULTICOLOR Strap, KIDS,windexa LEDDisplayDigitalWatchWaterproof,1.85,No
43,299,Green Strap, M,MVS Digital,1.85,No
44,299,Black Strap, Regular,MVS Digital,1.85,No
45,662,Black Strap, Free Size,Digniti New,1.85,No
48,557,black Strap, Free Size,SAMSTAR COLLECTION,1.85,Yes
49,299,Blue Strap, M,MVS Multicolor,1.85,No
52,299,Grey Strap, M,MVS Digital,1.85,No
53,879,Brown Strap, Regular,WOKIT DZ09,1.85,No
55,719,black Strap, Free Size,SAMSTAR COLLECTION,1.85,Yes
58,383,MULTICOLOR Strap, KIDS,KYOKA Led,1.85,No
59,559,Black Strap, Free Size,Fuziqra T800,1.85,No
62,590,Black Strap, Free Size,VYGHA COLLECTION,1.85,No
63,582,Black Strap, Free Size,VYGHA COLLECTION,1.85,No
64,1709,Pink Strap, Free Size,SAMSTAR COLLECTION,1.85,No
68,699,Orange Strap, Free Size,PLUS ORSON,1.85,No
69,699,Black Strap, Free Size,BEST BOOST,1.85,No
72,664,Black Strap, Free Size,ROBB STARK,1.69,Yes
73,634,multicolored Strap, free size,AuraTech T10,2.09,No
75,636,Black Strap, Free Size,TEXOVICT T800,1.85,No
77,1399,Black Strap, Standard,TXOR WAVE,1.85,No
78,599,black Strap, Free Size,SAMSTAR COLLECTION,1.85,Yes
79,1499,Black & Grey Strap, 1.99 Inch Free Size,PunnkFunnk T-STORM,1.99,Yes
84,1199,Deep Blue Strap, Free Size,boAt Wave,1.83,No
88,1399,Beige Strap, Free Size,Fastrack Revoltt,1.38,No
89,1299,Dark Blue Strap, Free Size,boAt Storm,1.83,Yes
92,1349,Metal Grey Strap, Free Size,boAt Lunar,1.39,No
93,1499,Silver Strap, Free Size,Boult Crown,1.95,Yes
94,1099,Electric Black Strap, Free Size,beatXP Marv,1.96,Yes
95,1399,Silver Strap, Free Size,Fire-Boltt Ninja,46.5,Yes
98,1499,cherry Blossom Strap, One Size,boAt Wave,2.01,No
99,1499,Blue Strap, Free Size,Fastrack Revoltt,2.01,No
102,1299,Grey Strap, Regular,Noise Thrive,1.85,Yes
103,1999,Gold Strap, Free Size,Fire-Boltt Blizzard,32.5,No
104,1299,Metal Black Strap, Free Size,Boult Striker,1.85,Yes
105,1399,Green Strap, Regular,Noise Colorfit,1.8,No
108,1299,Cherry Blossom Strap, Free Size,boAt Wave,1.83,No
109,1699,Black Strap, 1.78,Fire-Boltt Hulk,45.2,Yes
110,2041,Grey, Free Size,Voods V,1.85,Yes
112,1099,Green Strap, Free Size,boAt Wave,1.85,Yes
113,1199,Ice Silver Strap, Free Size,beatXP Vega,1.43,Yes
114,1699,Gold Silver Strap, Free Size,Fire-Boltt Blizzard,32.5,No
115,1099,Green Strap, Regular,Noise Caliber,1.69,No
116,1999,Black Strap, Free Size,"PLAYFIT STRENGTH,",1.85,No
117,1199,Beige Strap, Free Size,Fastrack Revoltt,1.83,Yes
118,1799,Elite Black Strap, Regular,Noise Crew,1.39,Yes
123,745,Black Strap, Regular Wear,WTG T500,1.92,Yes
125,1499,Electric Black Strap, Free Size,beatXP Evoke,1.43,No
