,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
0,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
1,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
2,1399,Black Strap, Regular,Noise Colorfit,1.8,No
3,1199,Black Strap, Free Size,Fastrack Revoltt,1.83,Yes
4,1099,Chocolate Brown Strap, Free Size,boAt Wave,1.83,No
5,1099,Black Strap, Regular,Noise Caliber,1.69,No
6,1399,Pink Strap, Regular,Noise Icon,1.8,Yes
7,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
8,8999,Black Strap, Free Size,SAMSUNG Galaxy,,No
9,1299,Jet Black Strap, Regular,Noise Icon,1.69,Yes
10,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
11,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
12,1399,Black Strap, Free Size,Fastrack Revoltt,1.38,No
13,719,Orange Strap, Free Size,Gamesir T800,1.83,No
14,664,Pink Strap, Free Size,Melbon Pink,1.69,No
15,1399,Active Black Strap, Free Size,boAt Wave,1.83,No
16,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
17,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
18,1199,Teal Strap, Free Size,Fastrack Revoltt,1.83,Yes
19,684,Pink Strap, 1.75 Inch Full Screen Display,Gamesir I8,,No
20,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
21,1299,Cream Strap, Free Size,Boult Striker,,Yes
22,999,Mint Green Strap, Free Size,beatXP Marv,1.85,Yes
23,1399,Wine Red Strap, Free Size,Fastrack Revoltt,1.38,No
24,1399,Metal Black Strap, Free Size,boAt Storm,1.83,Yes
25,1399,Deep Wine Strap, Regular,Noise Colorfit,1.8,No
26,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
27,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
28,799,Electric Black Strap, Free Size,beatXP Vector,1.30,Yes
29,1399,Grey Strap, Regular,Noise Colorfit,1.8,No
30,2499,Black Strap, Free Size,Inbase FIT,1.78,No
31,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
32,1199,Blue Strap, Free Size,Fastrack Revoltt,1.83,Yes
33,999,Electric Black Strap, Free Size,beatXP Unbound,2.01,No
34,1399,Black Strap, Free Size,Fire-Boltt Rise,1.85,Yes
35,8999,Silver Strap, Free Size,SAMSUNG Galaxy,,No
36,2270,Silver Strap, Regular,AXL CZAR,1.81,No
37,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
38,1299,Deep Blue Strap, Free Size,boAt Ultima,2.0,No
39,899,Copper Black Strap, Free Size,beatXP Marv,1.85,Yes
40,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
41,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
42,351,MULTICOLOR Strap, KIDS,windexa LEDDisplayDigitalWatchWaterproof,,No
43,299,Green Strap, M,MVS Digital,,No
44,299,Black Strap, Regular,MVS Digital,,No
45,662,Black Strap, Free Size,Digniti New,,No
46,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
47,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
48,557,black Strap, Free Size,SAMSTAR COLLECTION,,Yes
49,299,Blue Strap, M,MVS Multicolor,,No
50,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
51,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
52,299,Grey Strap, M,MVS Digital,,No
53,879,Brown Strap, Regular,WOKIT DZ09,,No
54,4781,Black Strap, Parent Controll Via Sekyo App,Sekyo Carepal,,No
55,719,black Strap, Free Size,SAMSTAR COLLECTION,,Yes
56,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
57,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
58,383,MULTICOLOR Strap, KIDS,KYOKA Led,,No
59,559,Black Strap, Free Size,Fuziqra T800,,No
60,1299,Cream Strap, Free Size,Boult Striker,,Yes
61,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
62,590,Black Strap, Free Size,VYGHA COLLECTION,,No
63,582,Black Strap, Free Size,VYGHA COLLECTION,,No
64,1709,Pink Strap, Free Size,SAMSTAR COLLECTION,,No
65,299,Black Strap, Regular,MVS Digital,,No
66,1699,Jet Black Strap, Free Size,Boult CrownX,2.0,Yes
67,2499,Black Strap, Free Size,Inbase FIT,1.78,No
68,699,Orange Strap, Free Size,PLUS ORSON,,No
69,699,Black Strap, Free Size,BEST BOOST,,No
70,2499,Space Grey Strap, Free Size,Urban FIT,1.78,Yes
71,2270,Silver Strap, Regular,AXL CZAR,1.81,No
72,664,Black Strap, Free Size,ROBB STARK,1.69,Yes
73,634,multicolored Strap, free size,AuraTech T10,2.09,No
74,0,Orange Strap, Free Size,Hexa T800,,No
75,636,Black Strap, Free Size,TEXOVICT T800,,No
76,1999,Black Strap, Free Size,Inbase Urban,1.7,Yes
77,1399,Black Strap, Standard,TXOR WAVE,,No
78,599,black Strap, Free Size,SAMSTAR COLLECTION,,Yes
79,1499,Black & Grey Strap, 1.99 Inch Free Size,PunnkFunnk T-STORM,1.99,Yes
80,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
81,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
82,2299,Black Strap, Free Size,Fastrack Revoltt,1.96,No
83,2299,Wine Red Strap, Free Size,Fastrack Revoltt,1.96,No
84,1199,Deep Blue Strap, Free Size,boAt Wave,1.83,No
